netid,number,term,grade
aeb88,22912,2019 Spring Term,80
aml88,7789,2018 Spring Term,89
acv20,5687,2018 Fall Term,98
alg88,24656,2019 Spring Term,94
ark45,5028,2017 Fall Term,99
aab70,16875,2018 Spring Term,99
atf25,13594,2017 Fall Term,93
agn21,19765,2017 Fall Term,98
alr80,25279,2018 Spring Term,94
atl18,20130,2018 Spring Term,90
aaa63,23278,2017 Fall Term,83
aab79,82,2017 Fall Term,95
amp95,12640,2018 Fall Term,97
alc87,5028,2018 Spring Term,97
adh61,8322,2018 Spring Term,95
aef35,6792,2017 Fall Term,93
aln22,24432,2018 Spring Term,97
ark44,7884,2018 Fall Term,94
apj11,15348,2018 Spring Term,88
acw63,23520,2017 Fall Term,84
akt21,22918,2018 Fall Term,91
anr33,10030,2018 Spring Term,80
aom11,22914,2018 Spring Term,94
atr24,3743,2018 Spring Term,98
asb42,7529,2017 Fall Term,92
ash75,22329,2019 Spring Term,84
aef44,6875,2018 Spring Term,84
afj11,7550,2019 Spring Term,94
aew53,1465,2017 Fall Term,93
amg89,23130,2018 Fall Term,99
ara42,1461,2019 Spring Term,79
aak47,10155,2017 Fall Term,86
arw59,4766,2019 Spring Term,91
aep47,1461,2018 Fall Term,75
akd16,7627,2018 Fall Term,99
atm46,16219,2018 Fall Term,95
afw13,22912,2018 Fall Term,88
anb65,24349,2018 Fall Term,95
aab74,9579,2019 Spring Term,96
ant28,9579,2018 Spring Term,78
ach79,8048,2017 Fall Term,93
agk19,24774,2017 Fall Term,82
ajr74,15348,2018 Spring Term,94
aml88,1406,2019 Spring Term,75
acw60,6839,2018 Fall Term,87
ajn24,14567,2018 Spring Term,80
acg59,25029,2019 Spring Term,87
baa26,18270,2017 Fall Term,90
ase21,3807,2018 Spring Term,82
aos12,10025,2018 Fall Term,77
ant28,1004,2019 Spring Term,97
awm33,20325,2018 Spring Term,81
baa26,7274,2018 Spring Term,97
asc57,21528,2019 Spring Term,83
ajl82,23299,2017 Fall Term,98
ajk67,3815,2019 Spring Term,97
ahl26,5029,2019 Spring Term,93
arl48,17941,2018 Spring Term,82
akm55,21967,2019 Spring Term,96
aak47,15262,2017 Fall Term,77
aks87,13848,2018 Spring Term,95
ahk23,22203,2018 Fall Term,85
amt69,8048,2017 Fall Term,93
ajr31,19913,2019 Spring Term,77
afm32,2313,2019 Spring Term,88
avn11,19765,2019 Spring Term,98
aem91,13594,2018 Fall Term,91
ayl26,22805,2017 Fall Term,83
adw63,10022,2018 Fall Term,78
aef38,6840,2019 Spring Term,91
amj55,10022,2018 Fall Term,87
