64,FIRST-YEAR SEMINAR (TOP),AAAS, 89S,2017 Fall Term,Prereq: First year: First year with exception or Transfer students only,TuTh 11:45AM - 1:00PM,East Duke 204A,Lamonte Aidoo,S:ALP:CCI
64,FIRST-YEAR SEMINAR (TOP),AAAS, 89S,2018 Fall Term,Prereq: First year: First year with exception or Transfer students only,TuTh 11:45AM - 1:00PM,Carr 106,Lamonte Aidoo,S:ALP:CCI
64,FIRST-YEAR SEMINAR (TOP),AAAS, 89S,2019 Spring Term,Prereq: First year: First year with exception or Transfer students only,TuTh 11:45AM - 1:00PM,Carr 106,Lamonte Aidoo,S:ALP:CCI
81,INTRO AFR-AMER STUDIES,AAAS,102,2017 Fall Term,None,MW 3:05PM - 4:20PM,Friedl Bldg 240,Charmaine D Royal: William A Darity,CCI:CZ:SS
81,INTRO AFR-AMER STUDIES,AAAS,102,2018 Spring Term,None,Tu 6:15PM - 8:45PM,East Duke 204B,Mark A Neal,CCI:CZ:SS
81,INTRO AFR-AMER STUDIES,AAAS,102,2018 Fall Term,None,Tu 10:05AM - 12:35PM,Friedl Bldg 240,Jasmine Nicole Cobb,CCI:CZ:SS
81,INTRO AFR-AMER STUDIES,AAAS,102,2019 Spring Term,None,TuTh 10:05AM - 11:20AM,Friedl Bldg 240,Wahneema Lubiano,CCI:CZ:SS
82,INTRO TO AFRICAN STUDIES,AAAS,103,2017 Fall Term,None,TuTh 1:25PM - 2:40PM,Gross Hall 103,Charles D Piot,ALP:CCI:CZ
82,INTRO TO AFRICAN STUDIES,AAAS,103,2018 Spring Term,None,MW 10:05AM - 11:20AM,Sociology Psychology 130,Stephen William Smith,ALP:CCI:CZ
82,INTRO TO AFRICAN STUDIES,AAAS,103,2018 Fall Term,None,MW 11:45AM - 1:00PM,White Lecture Hall 107,Samuel F Daly,ALP:CCI:CZ
82,INTRO TO AFRICAN STUDIES,AAAS,103,2019 Spring Term,None,MW 11:45AM - 1:00PM,East Duke 204B,Anne-Maria B Makhulu: Samuel F Daly,ALP:CCI:CZ
22918,INTRO TO LATINO/A STUDIES,AAAS,104,2017 Fall Term,None,TBA,TBA,Staff,ALP:CCI:SS
22918,INTRO TO LATINO/A STUDIES,AAAS,104,2018 Fall Term,None,TuTh 10:05AM - 11:20AM,Friedl Bldg 225,Cole Alexander Rizki,ALP:CCI:SS
22918,INTRO TO LATINO/A STUDIES,AAAS,104,2019 Spring Term,None,TuTh 11:45AM - 1:00PM,Friedl Bldg 225,Antonio Viego,ALP:CCI:SS
19142,INTRO TO LATINO/A STUDIES,AAAS,104S,2018 Spring Term,None,TuTh 3:05PM - 4:20PM,Friedl Bldg 240,Antonio Viego,S:ALP:CCI:SS
1004,LEADERSHIP LABORATORY,AEROSCI, 99L,2017 Fall Term,None,Th 3:05PM - 5:05PM,Trent Hall 040,Andrea R. Callies: Chadrick Richardson: Jody Ross Wood: Leia Teresa Wright,
