000001,AMES,89S,First-Year Seminar,S,
000010,AMES,333,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,CCI ALP SS,
000010 1,AMI,270,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,CCI ALP SS,
000010 2,CULANTH,334,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,CCI ALP SS,
000010 3,SXL,233,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,CCI ALP SS,
000010 4,WOMENST,233,Traffic in Women: Cultural Perspectives on Prostitution in Modern China,CCI ALP SS,
000019,AMES,365S,The World of Japanese Pop Culture,S CCI ALP CZ,
000019 1,CULANTH,365S,The World of Japanese Pop Culture,S CCI ALP CZ,
000019 2,AMES,165S,The World of Japanese Pop Culture,S CCI ALP CZ,
000022,LIT,290,Special Topics in International Literature and Culture,,
000023,AMES,423S,Sex and Violence in Modern Arabic Literature,S CCI ALP CZ,
000028,AMES,251,Indian Cinema,CCI R ALP CZ,
000028 1,AMI,253,Indian Cinema,CCI R ALP CZ,
000028 2,LIT,211,Indian Cinema,CCI R ALP CZ,
000028 3,VMS,231,Indian Cinema,CCI R ALP CZ,
000028 4,AMES,151,Indian Cinema,CCI R ALP CZ,
000029,AMES,261,Japanese Cinema,CCI ALP CZ,
000029 1,AMI,255,Japanese Cinema,CCI ALP CZ,
000029 2,LIT,213,Japanese Cinema,CCI ALP CZ,
000029 3,VMS,232,Japanese Cinema,CCI ALP CZ,
000040,AMES,431,Modern Chinese Cinema,CCI ALP CZ,
000040 1,AMI,250,Modern Chinese Cinema,CCI ALP CZ,
000040 2,LIT,214,Modern Chinese Cinema,CCI ALP CZ,
000040 3,VMS,235,Modern Chinese Cinema,CCI ALP CZ,
000040 4,AMES,129,Modern Chinese Cinema,CCI ALP CZ,
000041,AAAS,307,Development and Africa,CCI CZ SS,
000041 1,CULANTH,307,Development and Africa,CCI CZ SS,
000041 2,PUBPOL,207,Development and Africa,CCI CZ SS,
000041 3,ICS,308,Development and Africa,CCI CZ SS,
000050,AMES,495S,Senior Honors Thesis Seminar,S R W,
000050 1,AMES,499S,Senior Honors Thesis Seminar,S R W,
000053,AMES,503,Asian & Middle Eastern Studies,,
000056,AMES,535,Chinese Media and Pop Culture,CCI R ALP,
000056 1,ISIS,535,Chinese Media and Pop Culture,CCI R ALP,
000056 2,ISS,535,Chinese Media and Pop Culture,CCI R ALP,
000058,AMES,605,East Asian Cultural Studies,CCI R ALP CZ,
000058 1,CULANTH,605,East Asian Cultural Studies,CCI R ALP CZ,
000058 2,LIT,571,East Asian Cultural Studies,CCI R ALP CZ,
000058 3,ICS,605,East Asian Cultural Studies,CCI R ALP CZ,
000060,AMES,565,The World of Japanese Pop Culture,S CCI R ALP CZ,
000060 1,CULANTH,565,The World of Japanese Pop Culture,S CCI R ALP CZ,
000060 2,AMES,565S,The World of Japanese Pop Culture,S CCI R ALP CZ,
000060 3,CULANTH,565S,The World of Japanese Pop Culture,S CCI R ALP CZ,
000062,AMES,631S,Seminar on Modern Chinese Cinema,S R CZ,
000062 1,AMI,633S,Seminar on Modern Chinese Cinema,S R CZ,
000062 2,LIT,631S,Seminar on Modern Chinese Cinema,S R CZ,
000062 3,VMS,631S,Seminar on Modern Chinese Cinema,S R CZ,
000064,AAAS,89S,First-Year Seminar,S,
000074,AAAS,190,Special Topics,,
000075,AAAS,190S,Special Topics,S,
000077,AAAS,330,Film and the African Diaspora,CCI ALP SS,
000077 1,VMS,228,Film and the African Diaspora,CCI ALP SS,
000077 2,WOMENST,250,Film and the African Diaspora,CCI ALP SS,
000078,AAAS,290A,Duke-Administered Study Abroad: Advanced Special Topics in African and African American Studies,,
000081,AAAS,102,Introduction to African American Studies,CCI CZ SS,
000081 1,LIT,102,Introduction to African American Studies,CCI CZ SS,
000082,AAAS,103,Introduction to African Studies (DS3 or DS4),CCI ALP CZ,
000082 1,CULANTH,105,Introduction to African Studies (DS3 or DS4),CCI ALP CZ,
000082 2,HISTORY,129,Introduction to African Studies (DS3 or DS4),CCI ALP CZ,
000082 3,POLSCI,108,Introduction to African Studies (DS3 or DS4),CCI ALP CZ,
000082 4,ICS,110,Introduction to African Studies (DS3 or DS4),CCI ALP CZ,
000170,AAAS,495,Distinction Program Sequence,R,
000171,AAAS,496,Distinction Program Sequence,R,
000175,AAAS,499S,Senior Seminar,S,
000176,AAAS,390,Special Topics,,
000177,AAAS,390S,Special Topics,S,
000200,AAAS,690,Special Topics,,
000201,AAAS,690S,Special Topics,S,
000201 1,GENOME,590S-01,Special Topics,S,
000205,AAAS,890,Special Topics,,
000206,AAAS,891,Special Readings,,
000208,AMXTIAN,756,American Christianity,,
000210,AMXTIAN,800,Studies in American Methodism,,
000217,AMXTIAN,809,Evangelical Traditions in America,,
000223,AMXTIAN,950,American Religious Biography,,
000337,ENGLISH,312AS,The Arts in New York: A Thematic Approach,R W ALP,
000337 1,THEATRST,213AS,The Arts in New York: A Thematic Approach,R W ALP,
000337 2,VMS,259S,The Arts in New York: A Thematic Approach,R W ALP,
000337 3,ENGLISH,312A,The Arts in New York: A Thematic Approach,R W ALP,
000337 4,THEATRST,213A,The Arts in New York: A Thematic Approach,R W ALP,
000337 5,VMS,259A,The Arts in New York: A Thematic Approach,R W ALP,
000337 6,PUBPOL,312A,The Arts in New York: A Thematic Approach,R W ALP,
000506,ARABIC,101,Elementary Arabic,FL,
000507,ARABIC,102,Elementary Arabic,FL,
000512,ARABIC,203,Intermediate Arabic,FL CZ,
000513,ARABIC,204,Intermediate Arabic,FL CZ,
000516,ARABIC,305,Advanced Arabic,CCI FL ALP,
000517,ARABIC,306,Advanced Arabic,FL ALP,
000524,ARABIC,407,Issues in Arabic Language and Literature I,CCI FL ALP,
000525,ARABIC,408,Issues in Arabic Language and Literature II,FL ALP,
000526,ARABIC,391,Independent Study,,
000527,ARABIC,281,Media Arabic I: Arabic in Media and Documentary Film,FL CZ,
000529,ARTHIST,89S,First-Year Seminar,S,
000534,ARTHIST,190A,Duke-Administered Study Abroad: Special Topics in Art History,,
000536,ARTHIST,101D,Introduction to the History of Art,CCI ALP CZ,
000538,ARTHIST,102D,Introduction to the History of Art,CCI ALP CZ,
000546,ARTHIST,215,Representing Women in the Classical World,S CCI W ALP CZ,
000546 1,CLST,243,Representing Women in the Classical World,S CCI W ALP CZ,
000546 2,VMS,209,Representing Women in the Classical World,S CCI W ALP CZ,
000546 3,ARTHIST,215S,Representing Women in the Classical World,S CCI W ALP CZ,
000546 4,CLST,243S,Representing Women in the Classical World,S CCI W ALP CZ,
000546 5,VMS,209S,Representing Women in the Classical World,S CCI W ALP CZ,
000547,ARTHIST,334,Roman Spectacle,CCI EI ALP CZ,
000547 1,CLST,354,Roman Spectacle,CCI EI ALP CZ,
000547 2,VMS,334,Roman Spectacle,CCI EI ALP CZ,
000550,ARTHIST,225,Gothic Cathedrals,CCI R ALP CZ,
000550 1,MEDREN,215,Gothic Cathedrals,CCI R ALP CZ,
000563,ARTHIST,210,The Art of Greece and Rome,CCI ALP CZ,
000563 1,CLST,250,The Art of Greece and Rome,CCI ALP CZ,
000577,ARTHIST,255A,Renaissance and Baroque Art History,CCI ALP CZ,
000585,ARTHIST,258,Renaissance Architecture in Italy: Brunelleschi to Michelangelo,ALP CZ,
000585 1,ITALIAN,258,Renaissance Architecture in Italy: Brunelleschi to Michelangelo,ALP CZ,
000585 2,MEDREN,227,Renaissance Architecture in Italy: Brunelleschi to Michelangelo,ALP CZ,
000587,ARTHIST,231,History of Art Markets,R STS SS,
